suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
object,scene_0024,directional,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,tomato_sauce_1,False,basket_3,False,0.0253,,,,,plane,,,60,84.3
object,scene_0024,directional,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,tomato_sauce_1,False,basket_3,False,0.0332,,,,,plane,,,60,85.3
object,scene_0024,directional,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,tomato_sauce_1,False,basket_3,False,0.035,,,,,plane,,,60,86.1
object,scene_0025,directional,text_only,pi05,tokens,0,False,,300,True,True,245,True,True,True,bbq_sauce_1,True,basket_1,True,0.0082,,,,,plane,,,60,84.1
object,scene_0025,directional,text_only,pi05,tokens,1,False,,300,True,True,203,True,True,True,bbq_sauce_1,True,basket_1,True,0.0393,,,,,plane,,,60,83.9
object,scene_0025,directional,text_only,pi05,tokens,2,False,,300,True,True,205,True,True,True,bbq_sauce_1,True,basket_1,True,0.0429,,,,,plane,,,60,86.9
object,scene_0027,both,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,chocolate_pudding_3,False,basket_1,False,0.0411,,,,,plane,,,60,85.2
object,scene_0027,both,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,chocolate_pudding_3,False,basket_1,False,0.0148,,,,,plane,,,60,86.7
object,scene_0027,both,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,chocolate_pudding_3,False,basket_1,False,0.0339,,,,,plane,,,60,86.7
object,scene_0029,both,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,butter_1,False,basket_1,True,0.0448,,,,,plane,,,60,87.2
object,scene_0029,both,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,butter_1,False,basket_1,True,0.0417,,,,,plane,,,60,86.2
object,scene_0029,both,text_only,pi05,tokens,2,False,,300,False,False,,True,True,True,butter_1,False,basket_1,True,0.0402,,,,,plane,,,60,85.7
object,scene_0033,both,text_only,pi05,tokens,0,False,,300,False,False,,True,True,True,orange_juice_3,True,basket_1,False,0.0106,,,,,plane,,,60,86.5
object,scene_0033,both,text_only,pi05,tokens,1,False,,300,False,False,,True,True,True,bbq_sauce_1,False,,False,0.1231,,,,,plane,,,60,87.2
object,scene_0033,both,text_only,pi05,tokens,2,False,,300,False,False,,True,False,False,,False,,False,0.4826,,,,,plane,,,60,85.5
goal,scene_0001,control,text_only,pi05,tokens,0,False,,320,True,True,84,True,True,True,akita_black_bowl_1,True,,False,,,,,,plane,,,64,84.8
goal,scene_0001,control,text_only,pi05,tokens,1,False,,320,True,True,82,True,True,True,akita_black_bowl_1,True,,False,,,,,,plane,,,64,86.6
goal,scene_0001,control,text_only,pi05,tokens,2,False,,320,True,True,83,True,True,True,akita_black_bowl_1,True,,False,,,,,,plane,,,64,84.7
goal,scene_0002,control,text_only,pi05,tokens,0,False,,320,True,True,142,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,85.8
goal,scene_0002,control,text_only,pi05,tokens,1,False,,320,True,True,163,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,84.4
goal,scene_0002,control,text_only,pi05,tokens,2,False,,320,True,True,150,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,85.8
goal,scene_0005,referential,text_only,pi05,tokens,0,False,,320,True,True,68,True,True,True,akita_black_bowl_1,True,plate_1,True,0.009,,,,,plane,,,64,85.1
goal,scene_0005,referential,text_only,pi05,tokens,1,False,,320,True,True,70,True,True,True,akita_black_bowl_1,True,plate_1,True,0.01,,,,,plane,,,64,85.6
goal,scene_0005,referential,text_only,pi05,tokens,2,False,,320,True,True,70,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,,,,,plane,,,64,85.5
goal,scene_0010,referential,text_only,pi05,tokens,0,False,,320,False,True,142,False,False,False,,False,,False,,,,,,plane,,,64,85.0
goal,scene_0010,referential,text_only,pi05,tokens,1,False,,320,False,True,138,False,False,False,,False,,False,,,,,,plane,,,64,83.8
goal,scene_0010,referential,text_only,pi05,tokens,2,False,,320,False,True,132,False,False,False,,False,,False,,,,,,plane,,,64,86.9
goal,scene_0013,referential,text_only,pi05,tokens,0,False,,320,True,True,147,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,85.4
